#GroupName	ProteinCount	SpeciesCount	FunctionalCategory	ConsensusFunctionalDescription
VOG00001	2431	68	Xh	sp|Q5UR04|YR911_MIMIV Putative ankyrin repeat protein R911
VOG00002	1363	1007	Xu	sp|P04132|RPC_BPP2 Repressor protein C
VOG00003	368	72	Xh	sp|Q5UPF8|YL088_MIMIV Putative ankyrin repeat protein L88
VOG00004	870	89	Xh	sp|Q5UPJ9|YL122_MIMIV Putative ankyrin repeat protein L122
VOG00005	693	29	Xu	sp|Q5UQL2|YL414_MIMIV Putative F-box and FNIP repeat-containing protein L414
VOG00006	1310	1050	Xr	sp|O22001|VXIS_BPMD2 Excisionase
VOG00007	825	691	XhXrXs	sp|P17766|POLG_PPVNA Genome polyprotein
VOG00008	268	191	Xu	sp|Q5UPT6|YL245_MIMIV Uncharacterized HNH endonuclease L245
VOG00009	376	321	Xu	sp|P03795|Y28_BPT7 Protein 2.8
VOG00010	1638	685	Xu	sp|Q9YML3|BROJ_NPVLD Uncharacterized Bro-N domain-containing protein J
VOG00011	247	65	Xu	REFSEQ hypothetical protein
VOG00012	131	69	Xu	sp|Q5UQZ4|YR904_MIMIV Putative KilA-N domain-containing protein R904
VOG00013	1717	1571	XhXr	sp|O64235|DPOL_BPMD2 DNA polymerase
VOG00014	213	17	Xu	REFSEQ hypothetical protein
VOG00015	271	44	Xh	sp|Q5UQA7|YR542_MIMIV Putative F-box/LRR-repeat protein R542
VOG00016	107	82	Xu	REFSEQ hypothetical protein
VOG00017	823	310	Xh	sp|Q5UQG7|YR818_MIMIV Putative serine/threonine-protein kinase/receptor R818
VOG00018	1233	1168	XhXr	sp|P22877|INTR_SACER Integrase
VOG00019	659	659	Xu	sp|P13004|YLYS_BPPHV Uncharacterized protein near lysin gene (Fragment)
VOG00020	233	19	Xu	sp|Q5UPH2|YL098_MIMIV Putative BTB/POZ domain-containing protein L98
VOG00021	73	55	Xh	sp|Q5UPU3|YL268_MIMIV Putative serine/threonine-protein kinase L268
VOG00022	363	126	XhXs	sp|Q5UP57|P4H_MIMIV Putative prolyl 4-hydroxylase
VOG00023	195	195	XhXr	sp|P54308|TERL_BPSPP Terminase, large subunit
VOG00024	1377	1350	XhXpXrXs	sp|Q6QGD5|PORTL_BPT5 Portal protein
VOG00025	74	43	Xu	REFSEQ hypothetical protein
VOG00026	435	310	XrXs	sp|P37988|TGB1_CVB Movement and silencing protein TGBp1
VOG00027	1297	1199	Xh	sp|B6UL32|SAV_BPLP2 SaV protein
VOG00028	63	46	Xu	sp|Q5UQ10|YL192_MIMIV Uncharacterized protein L192
VOG00029	385	307	XhXpXrXs	sp|B9VUU3|POLG_HE71 Genome polyprotein
VOG00030	197	20	XhXs	sp|C0H677|UL298_HCMVA Protein UL29/UL28
VOG00031	349	130	Xh	sp|P41436|IAP_GVCPM Apoptosis inhibitor IAP
VOG00032	371	167	Xs	sp|A7U6E9|MCP_POV01 Major capsid protein
VOG00033	172	170	XhXp	sp|Q8LTD0|SPAN2_BPP2 Probable spanin, outer lipoprotein subunit
VOG00034	159	158	XhXr	sp|Q8X5V3|DNAB_ECO57 Replicative DNA helicase
VOG00035	117	16	Xu	sp|Q5UPP5|YL181_MIMIV Uncharacterized protein L181
VOG00036	267	263	Xu	sp|P41039|YBII_ECOLI Uncharacterized protein YbiI
VOG00037	217	35	Xu	REFSEQ hypothetical protein
VOG00038	226	190	XhXr	sp|Q64962|RDRP_ASPVP RNA replication polyprotein
VOG00039	907	866	Xu	sp|P04536|EXOD_BPT4 Exodeoxyribonuclease
VOG00040	1753	1323	Xh	sp|P00276|GLRX_BPT4 Glutaredoxin
VOG00041	401	392	XhXs	sp|Q6QGE9|BPPB3_BPT5 Baseplate hub protein pb3
VOG00042	842	830	XhXp	sp|P04522|EXO2_BPT4 Exonuclease subunit 2
VOG00043	154	119	Xu	sp|Q91F66|460R_IIV6 Uncharacterized protein 460R
VOG00044	72	32	Xh	sp|Q6QGE6|ENDO2_BPT5 Putative endonuclease
VOG00045	46	40	Xu	sp|P03796|Y77_BPT7 Protein 7.7
VOG00046	206	110	Xr	sp|P54992|YSNA_STRPR Putative RNA-guided DNA endonuclease
VOG00047	156	49	XhXp	sp|O72736|KBTB1_CWPXG Kelch repeat and BTB domain-containing protein 1
VOG00048	59	18	Xu	sp|O55752|148R_IIV6 Putative MSV199 domain-containing protein 148R
VOG00049	115	18	Xu	REFSEQ hypothetical protein
VOG00050	41	29	Xs	sp|P54635|CAPSD_LORDV Capsid protein
VOG00051	70	64	Xu	sp|P14107|Y8K6_BPP22 Uncharacterized 8.6 kDa protein in ral-gp17 intergenic region
VOG00052	385	347	Xu	sp|Q38441|YOR5_BPSPP Uncharacterized 10.3 kDa protein in GP2-GP6 intergenic region
VOG00053	221	221	XhXp	sp|P03040|RCRO_LAMBD Regulatory protein cro
VOG00054	116	32	Xu	sp|Q5UP86|YL012_MIMIV Uncharacterized protein L12
VOG00055	47	46	Xh	sp|P00276|GLRX_BPT4 Glutaredoxin
VOG00056	50	21	XhXs	sp|Q5UQ13|COLL2_MIMIV Collagen-like protein 2
VOG00057	102	24	Xu	sp|Q5UP92|YL018_MIMIV Putative sel1-like repeat-containing protein L18
VOG00058	52	39	Xu	sp|Q91FA5|420R_IIV6 Putative MSV199 domain-containing protein 420R
VOG00059	90	87	Xu	sp|Q9T1Q7|VP41_BPAPS Putative protein p41
VOG00060	914	888	XhXr	sp|O48500|DUT_BPT5 Deoxyuridine 5'-triphosphate nucleotidohydrolase
VOG00061	1428	1359	Xh	sp|P00452|RIR1_ECOLI Ribonucleoside-diphosphate reductase 1 subunit alpha
VOG00062	276	272	XpXrXs	sp|O48446|HCP16_BPSPP Head completion protein gp16
VOG00063	94	93	Xu	sp|P14108|Y7K8_BPP22 Uncharacterized 7.8 kDa protein in ral-gp17 intergenic region
VOG00064	193	191	Xu	REFSEQ head-tail connector protein
VOG00065	127	16	Xh	sp|Q6PAV2|HERC4_MOUSE Probable E3 ubiquitin-protein ligase HERC4
VOG00066	367	339	Xh	sp|Q5UQ22|YL207_MIMIV Putative helicase L207/L206
VOG00067	219	98	Xu	REFSEQ hypothetical protein
VOG00068	76	34	Xu	REFSEQ hypothetical protein
VOG00069	148	126	Xu	REFSEQ ParB-like nuclease domain protein
VOG00070	45	44	Xu	sp|O31904|YORJ_BACSU SPbeta prophage-derived uncharacterized protein YorJ
VOG00071	826	825	Xu	sp|O64216|VG22_BPMD2 Gene 22 protein
VOG00072	81	76	Xu	REFSEQ hypothetical protein
VOG00073	46	45	Xu	sp|P59193|YFDT_SHIFL Uncharacterized protein YfdT
VOG00074	68	32	Xu	REFSEQ hypothetical protein
VOG00075	1196	408	XhXpXrXs	sp|P13333|TUBE_BPT4 Tail tube protein gp19
VOG00076	37	27	Xu	REFSEQ hypothetical protein
VOG00077	620	607	XhXr	sp|P32270|DDA_BPT4 ATP-dependent DNA helicase dda
VOG00078	902	898	XhXs	sp|P09425|BP25_BPT4 Baseplate wedge protein gp25
VOG00079	316	316	XhXs	sp|O64333|TIPK_BPN15 Tail tip assembly protein K
VOG00080	1058	1052	Xs	sp|O64210|CAPSD_BPMD2 Probable major capsid protein gp17
VOG00081	91	90	Xu	REFSEQ lysin A
VOG00082	83	33	Xh	sp|Q5UQ27|RABL_MIMIV Probable Rab-related GTPase
VOG00083	261	144	Xh	sp|Q9EQC1|3BHS7_MOUSE 3 beta-hydroxysteroid dehydrogenase type 7
VOG00084	106	106	Xs	sp|P15098|TGB3_NMV Movement protein TGBp3
VOG00085	113	54	Xu	REFSEQ hypothetical protein
VOG00086	90	12	Xu	REFSEQ hypothetical protein
VOG00087	183	178	Xu	sp|Q6QGG9|D5_BPT5 Putative transcription factor D5
VOG00088	123	20	Xu	sp|Q5UQ39|YL796_MIMIV Uncharacterized protein L796
VOG00089	451	421	Xp	sp|E1XT70|HMUD1_BPSAV 5-hmdU DNA kinase 1
VOG00090	197	182	Xu	sp|Q03182|RINA_BPPHA Transcriptional activator rinA
